manufSN,internalSN,itemCode,itemName,customer,custmrName,Distance,cntrctEnd,contractID,Name
,LCM 1,Semi Automatic Lug Capper,Semi Automatic Lug Capper,CBL NATURAL,Cbl Natural Foods Pvt Ltd,,,,0
,21566,Semi Automatic Lug Capper,Semi Automatic Lug Capper,HJSCL,H.J.S. Condiments Ltd.,,,,Ms.Susangi
168,168,Torque Adjustable Hand Capping Machine,Torque Adjustable Hand Capping Machine,LIPTON,Unilever Lipton Ceylon Ltd,,,,0
169,169,Torque Adjustable Hand Capping Machine,Torque Adjustable Hand Capping Machine,LIPTON,Unilever Lipton Ceylon Ltd,,,,0
,21116-30/03/2022-1,HIRING CHARGES,HIRING CHARGES,DGL SUPPLY CHAI,Dgl Supply Chain Solutions (Pvt) Ltd,,,,0
,21116-30/03/2022-2,HIRING CHARGES,HIRING CHARGES,CARGILLS QUALIT,Cargills Quality Foods Ltd.,,,,0
,21116-30/03/2022-3,HIRING CHARGES,HIRING CHARGES,CARGILLS QUALIT,Cargills Quality Foods Ltd.,,,,0
,21116-30/03/2022-4,HIRING CHARGES,HIRING CHARGES,BENCHMARK,Benchmark International Ceylon (Pvt) Ltd,,,,0
,21116-30/03/2022-5,HIRING CHARGES,HIRING CHARGES,Aqua N,Aqua 'N Green Ltd,,,,Accounts
,21116-30/03/2022-6,HIRING CHARGES,HIRING CHARGES,Aqua N,Aqua 'N Green Ltd,,,,Accounts
,21694-29/07/2022,HIRING CHARGES,HIRING CHARGES,SAYALADU COCO,Sayaladu Coco Products (Private) Limited,,,,0
,21783-19/08/2022,HIRING CHARGES,HIRING CHARGES,DP GLOBAL,Dp Global Ventures Pvt Ltd,,,,Mr.Dilantha
,21783-19/08/2022-1,HIRING CHARGES,HIRING CHARGES,DP GLOBAL,Dp Global Ventures Pvt Ltd,,,,Mr.Dilantha
,58,HYDRAULIC BALER JPA1070T60,HYDRAULIC BALER JPA1070T60,MIDAYA,"Midaya Packaging Ind., (Pvt) Ltd",,,,0
,21562,Pre-baker grinder,Pre-baker grinder,SINHARAJA HELA,Sinharaja Hela Osu (Pvt) Ltd,,,,0
,30BVI,Platform Dust Collecting Crushing Set,Platform Dust Collecting Crushing Set,Heal Acres,Heal Acres (Pvt) Ltd,,,,Manager Purchasing
,18/03/2022,Coarse Crusher,Coarse Crusher,PURECINNAMON,PURECINNAMON EXPORT (PVT) LTD,,,,Manager Engineering
,18/03/2022,Powder Grinding Machine,Powder Grinding Machine,PURECINNAMON,PURECINNAMON EXPORT (PVT) LTD,,,,Manager Engineering
,21142 - 31/03/2022,Horizontal Ribbon Mixer 500L,Horizontal Ribbon Mixer 500L,Uva Prov Ayurve,Uva Province Ayurveda Department,,,,Manager Purchasing
,61,Foam Cleaning - Mobile,Foam Cleaning - Mobile,JAINDI,Jaindi Export (Pvt) Ltd,,,,0
,66,Continuous Sealing Machine,Continuous Sealing Machine,MCW,Motha Confectionery Works (Pvt) Ltd,,,,0
,67,Continuous Sealing Machine,Continuous Sealing Machine,CIC SEEDS,Cic Seeds Pvt Ltd,,,,0
